root-logging.INFO-139968184391424-2019-12-10 17:24:32,217-data: data/yelp-50k/exp_split/1/, path_str: all
root-logging.INFO-139968184391424-2019-12-10 17:25:24,561-MF running: parras: K=10, reg=10, lr=10, silent_run=False
root-logging.INFO-140205497603840-2019-12-10 17:48:22,689-data: data/yelp-50k/exp_split/1/, path_str: all
root-logging.INFO-140205497603840-2019-12-10 17:49:13,662-MF running: parras: K=10, reg=10, lr=10, silent_run=False
root-logging.INFO-140279567456000-2019-12-10 17:53:06,124-data: data/yelp-50k/exp_split/1/, path_str: all
root-logging.INFO-140279567456000-2019-12-10 17:53:56,632-MF running: parras: K=10, reg=10, lr=10, silent_run=False
root-logging.INFO-140279567456000-2019-12-10 17:55:07,261-iter=51, obj=1512147.3908(0.36%), ls:((5195.5936, 0), (5195.5936, 0)), train_rmse=0.6370, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:08,913-iter=52, obj=1506721.3558(1.75%), ls:((7403.7209, 1), (7403.7209, 1)), train_rmse=0.6312, time:1.7s
root-logging.INFO-140279567456000-2019-12-10 17:55:10,018-iter=53, obj=1480285.3303(1.23%), ls:((7033.5349, 0), (7033.5349, 0)), train_rmse=0.6260, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:11,121-iter=54, obj=1462071.3722(0.99%), ls:((6681.8581, 0), (6681.8581, 0)), train_rmse=0.6227, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:12,225-iter=55, obj=1447597.5487(0.94%), ls:((6347.7652, 0), (6347.7652, 0)), train_rmse=0.6188, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:13,328-iter=56, obj=1433998.0381(0.88%), ls:((6030.3769, 0), (6030.3769, 0)), train_rmse=0.6158, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:14,432-iter=57, obj=1421348.4728(0.82%), ls:((5728.8581, 0), (5728.8581, 0)), train_rmse=0.6122, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:15,535-iter=58, obj=1409622.4539(0.63%), ls:((5442.4152, 0), (5442.4152, 0)), train_rmse=0.6103, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:16,678-iter=59, obj=1400763.9875(0.17%), ls:((5170.2944, 0), (5170.2944, 0)), train_rmse=0.6087, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:18,272-iter=60, obj=1398366.8951(1.46%), ls:((7367.6696, 1), (7367.6696, 1)), train_rmse=0.6041, time:1.6s
root-logging.INFO-140279567456000-2019-12-10 17:55:19,377-iter=61, obj=1377975.1531(1.04%), ls:((6999.2861, 0), (6999.2861, 0)), train_rmse=0.5998, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:20,482-iter=62, obj=1363690.6729(0.81%), ls:((6649.3218, 0), (6649.3218, 0)), train_rmse=0.5972, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:21,585-iter=63, obj=1352631.0231(0.74%), ls:((6316.8557, 0), (6316.8557, 0)), train_rmse=0.5940, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:22,698-iter=64, obj=1342556.4362(0.64%), ls:((6001.0129, 0), (6001.0129, 0)), train_rmse=0.5920, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:23,842-iter=65, obj=1333912.7380(0.52%), ls:((5700.9623, 0), (5700.9623, 0)), train_rmse=0.5895, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:24,949-iter=66, obj=1327042.7860(0.11%), ls:((5415.9142, 0), (5415.9142, 0)), train_rmse=0.5896, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:26,551-iter=67, obj=1325586.5783(1.43%), ls:((7717.6777, 1), (7717.6777, 1)), train_rmse=0.5839, time:1.6s
root-logging.INFO-140279567456000-2019-12-10 17:55:27,662-iter=68, obj=1306638.5898(0.82%), ls:((7331.7938, 0), (7331.7938, 0)), train_rmse=0.5814, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:28,765-iter=69, obj=1295883.7724(0.69%), ls:((6965.2041, 0), (6965.2041, 0)), train_rmse=0.5785, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:29,872-iter=70, obj=1286918.6600(0.63%), ls:((6616.9439, 0), (6616.9439, 0)), train_rmse=0.5765, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:31,021-iter=71, obj=1278774.3110(0.61%), ls:((6286.0967, 0), (6286.0967, 0)), train_rmse=0.5740, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:32,142-iter=72, obj=1270911.0557(0.58%), ls:((5971.7919, 0), (5971.7919, 0)), train_rmse=0.5721, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:33,245-iter=73, obj=1263570.8737(0.50%), ls:((5673.2023, 0), (5673.2023, 0)), train_rmse=0.5699, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:34,357-iter=74, obj=1257228.8943(0.25%), ls:((5389.5422, 0), (5389.5422, 0)), train_rmse=0.5693, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:35,953-iter=75, obj=1254079.0627(0.98%), ls:((7680.0976, 1), (7680.0976, 1)), train_rmse=0.5655, time:1.6s
root-logging.INFO-140279567456000-2019-12-10 17:55:37,058-iter=76, obj=1241812.0019(0.65%), ls:((7296.0927, 0), (7296.0927, 0)), train_rmse=0.5634, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:38,206-iter=77, obj=1233689.7400(0.58%), ls:((6931.2881, 0), (6931.2881, 0)), train_rmse=0.5611, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:39,314-iter=78, obj=1226578.7421(0.54%), ls:((6584.7237, 0), (6584.7237, 0)), train_rmse=0.5594, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:40,426-iter=79, obj=1219980.3528(0.52%), ls:((6255.4875, 0), (6255.4875, 0)), train_rmse=0.5573, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:41,531-iter=80, obj=1213656.9895(0.47%), ls:((5942.7131, 0), (5942.7131, 0)), train_rmse=0.5559, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:42,644-iter=81, obj=1207917.5173(0.37%), ls:((5645.5774, 0), (5645.5774, 0)), train_rmse=0.5541, time:1.1s
